time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-04-14,12.4,6.0,20.0,0.0,,119.0,13.8,,1016.0,
2021-04-15,11.8,3.0,20.0,0.0,,294.0,7.0,,1016.0,
2021-04-16,12.2,8.0,18.0,0.0,,299.0,4.5,,1016.4,
2021-04-17,14.9,8.0,25.1,1.5,,65.0,12.7,,1015.0,
2021-04-18,17.6,13.5,23.0,0.8,,230.0,16.4,,1016.1,
2021-04-19,12.2,10.0,15.0,10.5,,298.0,12.8,,1015.4,
2021-04-20,10.4,5.0,16.0,0.1,,278.0,11.7,,1012.6,
2021-04-21,9.0,0.0,16.0,0.1,,300.0,6.9,,1018.1,
2021-04-22,10.3,1.7,17.1,0.0,,305.0,7.4,,1022.0,
2021-04-23,12.1,2.4,22.0,0.0,,14.0,9.3,,1021.2,
2021-04-24,13.1,7.0,19.0,0.2,,311.0,6.8,,1018.7,
2021-04-25,10.6,8.0,14.0,11.9,,283.0,10.5,,1013.4,
2021-04-26,8.0,5.0,11.0,1.0,,274.0,18.1,,1014.8,
2021-04-27,10.0,-1.0,20.0,0.0,,88.0,8.0,,1016.3,
2021-04-28,16.2,5.5,26.0,0.2,,356.0,10.4,,1014.9,
2021-04-29,20.1,12.8,27.5,0.3,,260.0,12.8,,1014.9,
2021-04-30,18.6,12.4,25.2,0.0,,299.0,9.5,,1017.4,
2021-05-01,17.8,6.9,28.0,0.0,,351.0,3.0,,1018.6,
2021-05-02,21.0,12.0,31.0,0.0,,335.0,6.7,,1015.5,
2021-05-03,19.8,11.0,29.0,0.0,,337.0,7.3,,1013.8,
2021-05-04,16.2,12.0,20.0,2.9,,311.0,9.4,,1015.3,
2021-05-05,15.4,5.6,24.3,0.1,,9.0,6.7,,1013.0,
2021-05-06,14.1,8.7,19.2,2.2,,285.0,7.1,,1014.0,
2021-05-07,16.0,6.0,25.0,0.1,,81.0,6.4,,1017.2,
2021-05-08,17.3,11.0,23.0,0.3,,347.0,7.8,,1014.6,
2021-05-09,12.7,9.0,18.0,0.0,,314.0,13.9,,1020.8,
2021-05-10,10.9,-0.3,19.8,0.0,,30.0,7.3,,1020.9,
2021-05-11,13.1,2.6,23.0,0.0,,314.0,6.5,,1015.2,
2021-05-12,14.6,1.7,26.0,0.0,,323.0,5.6,,1010.5,
2021-05-13,17.6,5.5,28.0,0.0,,312.0,8.5,,1009.7,
2021-05-14,18.2,6.8,28.0,0.0,,318.0,9.0,,1012.6,
2021-05-15,18.1,7.5,28.0,0.0,,313.0,7.8,,1012.4,
2021-05-16,15.3,11.0,20.2,2.7,,273.0,11.9,,1008.3,
2021-05-17,14.8,6.8,21.6,0.0,,311.0,5.5,,1011.0,
2021-05-18,17.0,6.6,27.0,0.0,,283.0,12.0,,1010.7,
2021-05-19,16.4,5.6,26.0,0.0,,12.0,5.0,,1015.0,
2021-05-20,19.2,6.9,29.0,0.0,,295.0,12.7,,1009.3,
2021-05-21,15.6,7.5,24.0,2.0,,284.0,15.1,,1009.1,
2021-05-22,10.9,9.0,13.4,1.0,,285.0,15.8,,1017.6,
2021-05-23,14.8,4.8,23.0,0.0,,288.0,11.2,,1019.4,
2021-05-24,17.8,5.5,28.0,0.0,,310.0,9.2,,1021.0,
2021-05-25,19.8,9.3,28.0,0.0,,306.0,7.8,,1019.2,
2021-05-26,20.0,7.7,31.0,0.0,,334.0,7.2,,1014.5,
2021-05-27,20.0,9.9,30.0,0.4,,49.0,8.8,,1011.3,
2021-05-28,17.5,8.5,28.0,2.1,,324.0,6.9,,1009.3,
2021-05-29,15.0,11.4,19.8,1.1,,289.0,16.4,,1013.2,
2021-05-30,17.0,6.8,25.6,0.0,,2.0,6.6,,1014.5,
2021-05-31,15.8,13.0,19.0,6.9,,282.0,7.8,,1011.5,
2021-06-01,12.7,8.0,18.0,2.5,,310.0,9.0,,1010.4,
2021-06-02,10.3,6.8,15.0,2.8,,278.0,12.9,,1016.9,
2021-06-03,11.3,2.6,17.0,0.0,,306.0,9.7,,1020.7,
2021-06-04,13.7,8.4,18.0,0.0,,302.0,10.4,,1022.1,
2021-06-05,13.0,4.3,20.0,0.0,,315.0,9.1,,1020.8,
2021-06-06,14.2,3.6,22.0,0.0,,311.0,6.1,,1018.6,
2021-06-07,17.1,6.7,25.0,0.0,,314.0,5.0,,1017.4,
2021-06-08,15.8,11.0,22.0,9.0,,317.0,3.3,,1015.0,
2021-06-09,16.3,10.0,23.0,0.9,,319.0,5.6,,1012.8,
2021-06-10,17.1,10.0,24.0,0.8,,289.0,5.3,,1011.2,
2021-06-11,16.9,10.5,24.0,0.3,,309.0,8.4,,1012.8,
2021-06-12,17.5,8.6,26.0,0.2,,319.0,5.1,,1014.1,
2021-06-13,17.0,10.0,24.0,0.6,,328.0,3.7,,1013.3,
2021-06-14,14.5,11.9,20.5,4.1,,275.0,10.0,,1011.0,
2021-06-15,13.7,10.0,19.0,1.5,,274.0,10.9,,1012.2,
2021-06-16,13.6,7.0,20.0,0.3,,286.0,10.5,,1012.0,
2021-06-17,15.3,10.0,21.2,0.1,,311.0,7.8,,1017.8,
2021-06-18,17.7,9.9,26.0,0.4,,345.0,4.3,,1016.3,
2021-06-19,18.1,10.6,25.0,0.3,,347.0,4.0,,1013.4,
2021-06-20,19.1,13.0,25.0,1.6,,302.0,5.2,,1011.6,
2021-06-21,17.3,14.5,25.9,6.1,,313.0,5.8,,1012.2,
2021-06-22,18.5,13.7,24.2,8.2,,314.0,7.6,,1014.3,
2021-06-23,20.3,13.1,27.0,0.1,,292.0,8.7,,1015.9,
2021-06-24,21.5,15.9,27.0,0.6,,292.0,13.1,,1016.5,
2021-06-25,22.5,16.9,29.0,0.0,,296.0,11.2,,1015.2,
2021-06-26,22.8,18.0,28.0,0.0,,299.0,12.4,,1013.3,
2021-06-27,23.4,17.5,30.0,0.0,,313.0,8.1,,1014.1,
2021-06-28,22.9,14.1,29.0,0.0,,314.0,8.9,,1016.0,
2021-06-29,22.5,15.1,29.1,0.0,,317.0,6.9,,1016.1,
2021-06-30,23.6,13.9,31.2,0.0,,336.0,5.3,,1015.1,
2021-07-01,24.1,13.2,33.3,0.0,,336.0,3.3,,1013.2,
2021-07-02,24.9,14.9,35.0,0.0,,327.0,10.0,,1008.2,
2021-07-03,20.8,16.0,26.0,4.3,,285.0,17.2,,1007.9,
2021-07-04,18.1,14.0,23.0,1.4,,288.0,15.8,,1011.0,
2021-07-05,18.9,9.8,26.0,0.0,,317.0,5.8,,1011.0,
2021-07-06,17.4,10.8,21.0,5.0,,298.0,9.9,,1010.8,
2021-07-07,20.8,17.0,26.0,1.6,,291.0,13.7,,1014.1,
2021-07-08,21.4,18.0,26.1,0.8,,290.0,12.6,,1016.3,
2021-07-09,22.2,17.0,28.0,1.8,,322.0,11.5,,1015.3,
2021-07-10,21.3,15.0,28.2,0.0,,292.0,10.4,,1012.6,
2021-07-11,21.9,14.5,29.0,0.0,,272.0,10.4,,1011.7,
2021-07-12,22.2,12.2,30.0,0.0,,291.0,9.4,,1012.7,
2021-07-13,23.3,16.9,30.0,0.0,,292.0,13.9,,1013.2,
2021-07-14,22.5,14.8,29.5,0.0,,286.0,9.6,,1013.2,
2021-07-15,24.4,15.8,33.7,0.0,,313.0,9.7,,1010.8,
2021-07-16,24.4,13.6,33.0,0.0,,10.0,5.6,,1010.2,
2021-07-17,25.4,13.5,35.2,0.0,,19.0,6.2,,1007.1,
2021-07-18,27.6,17.0,38.0,0.0,,7.0,6.7,,1005.3,
2021-07-19,27.8,19.3,36.0,0.0,,299.0,8.6,,1007.3,
2021-07-20,26.5,20.3,33.0,0.0,,278.0,15.0,,1009.4,
2021-07-21,24.6,19.0,31.0,0.0,,284.0,14.5,,1011.5,
2021-07-22,21.7,17.0,27.0,0.0,,301.0,15.5,,1013.5,
2021-07-23,20.0,12.6,26.0,0.0,,330.0,10.1,,1012.7,
2021-07-24,20.9,15.0,28.0,0.0,,317.0,8.5,,1011.8,
2021-07-25,21.0,14.2,28.0,0.6,,331.0,10.0,,1013.8,
2021-07-26,21.9,14.6,29.0,0.1,,304.0,12.3,,1017.0,
2021-07-27,23.2,13.6,32.0,0.0,,338.0,10.8,,1018.6,
2021-07-28,23.3,13.1,32.0,0.0,,336.0,7.9,,1017.1,
2021-07-29,23.8,13.3,33.0,0.0,,329.0,6.5,,1014.5,
2021-07-30,25.6,13.1,34.0,0.0,,345.0,8.2,,1012.1,
2021-07-31,25.3,13.6,34.4,0.0,,349.0,7.5,,1011.8,
2021-08-01,25.1,15.4,33.0,0.0,,328.0,8.8,,1012.5,
2021-08-02,24.7,11.9,34.0,0.0,,325.0,7.7,,1013.1,
2021-08-03,26.6,14.0,36.7,0.0,,322.0,7.1,,1014.3,
2021-08-04,27.0,15.5,35.0,0.0,,333.0,8.3,,1015.7,
2021-08-05,26.1,15.4,34.5,0.0,,324.0,6.0,,1013.5,
2021-08-06,24.7,12.8,35.0,0.0,,22.0,6.3,,1006.6,
2021-08-07,22.7,18.0,26.2,4.5,,298.0,20.7,,1007.6,
2021-08-08,20.4,18.0,24.8,2.6,,296.0,15.0,,1015.4,
2021-08-09,20.9,13.4,28.0,0.0,,283.0,12.8,,1017.8,
2021-08-10,21.8,12.7,29.0,0.0,,288.0,15.1,,1016.7,
2021-08-11,22.0,17.0,28.0,0.0,,318.0,12.6,,1014.4,
2021-08-12,20.5,11.7,27.0,0.0,,327.0,12.8,,1016.9,
2021-08-13,20.9,13.0,28.3,0.0,,337.0,11.2,,1019.7,
2021-08-14,19.7,12.6,27.0,0.0,,293.0,9.0,,1018.8,
2021-08-15,19.8,12.0,28.0,0.0,,295.0,8.8,,1016.9,
